,Per_capita_personal_income_ 2019,Per_capita_personal_income_ 2020,Per_capita_personal_income_ 2021,Rank in United States 2021,Percent change,,Rank in United States 2021
"Warner Robins, GA","42,458","44,908","48,160",309,5.8,7.2,150
"Washington-Arlington-Alexandria, DC-VA-MD-WV","72,992","76,110","80,822",15,4.3,6.2,270
"Waterloo-Cedar Falls, IA","46,856","50,228","53,584",204,7.2,6.7,198
"Watertown-Fort Drum, NY","45,905","50,368","53,130",218,9.7,5.5,340
"Wausau-Weston, WI","50,993","54,039","56,947",142,6,5.4,345
"Weirton-Steubenville, WV-OH","41,769","45,217","48,558",304,8.3,7.4,136
"Wenatchee, WA","49,820","54,443","58,009",133,9.3,6.5,216
"Wheeling, WV-OH","47,503","47,257","50,716",265,-0.5,7.3,142
"Wichita, KS","51,801","53,827","56,343",157,3.9,4.7,366
"Wichita Falls, TX","45,697","47,843","50,905",262,4.7,6.4,237
"Williamsport, PA","44,394","48,075","50,464",270,8.3,5,360
"Wilmington, NC","49,275","52,486","55,750",167,6.5,6.2,266
"Winchester, VA-WV","50,120","53,040","56,544",154,5.8,6.6,209
"Winston-Salem, NC","46,218","49,044","53,154",217,6.1,8.4,61
"Worcester, MA-CT","55,671","60,364","64,540",67,8.4,6.9,176
"Yakima, WA","43,208","47,315","50,872",263,9.5,7.5,124
"York-Hanover, PA","51,295","54,808","57,870",135,6.8,5.6,330
"Youngstown-Warren-Boardman, OH-PA","42,450","46,009","48,904",297,8.4,6.3,250
"Yuba City, CA","42,979","47,947","51,174",255,11.6,6.7,190
"Yuma, AZ","37,624","42,732","44,299",366,13.6,3.7,384
"1. Per capita personal income was computed using Census Bureau midyear population estimates for 2020 and 2021, released in March 2022. For 2019, BEA produced intercensal population figures that are tied to the Census Bureau decennial counts for 2010 and 2020 to create consistent time series that are used to prepare per capita personal income statistics. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data.",,,,,,,
U.S. Bureau of Economic Analysis,,,,,,,
